Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
MERICREAM RED VELVET 500ML,2.0,300.0,0,0
MERIIBOY CHOCOBAR,19.0,480.0,0,0
MERIIBOY SPANISH DELIGHT 4LTR,1.0,750.0,0,0
MILK PEDA,13.0,78.0,0,0
MILK PEDA TIN,2.0,130.0,3,155.97
MILKMAID TIN 380G,3.0,432.0,0,0
MILKY MIST CURD 400G,34.0,1289.0,30,"1,005.30"
MILKY MIST CURD SET,1.0,35.0,0,0
MILKY MIST MOZZARELLA SHREDDED,1.0,1050.0,0,0
MILKY MIST WHIP CREAM 250 ML,1.0,100.0,0,0
MILKYBAR MOULD 13.2G,32.0,320.0,0,0
MILMA MILK 500G,64.0,1792.0,58,"1,508.00"
MILMA PEDA,10.0,60.0,60,318.6
MIRINDA 1.25L,2.0,130.0,0,0
MIXED FRUIT HALVA 1KG,1.35,337.5,0,0
MIXTURE,2.25,675.0,0,0
MOJOIES CHOCOLATE RS 5,179.0,895.0,"1,020.00","3,723.00"
MOMS MAGIC CASHEW & ALMD,1.0,25.0,0,0
MUESLI,1.0,180.0,0,0
NABATI PINK LAVA RS 10,4.0,40.0,12,102
NADAN CURD 500ML,4.0,140.0,0,0
NADAN GHEE 1 BOTTLE,1.0,600.0,0,0
NADAN KUZHALAPAM 200GM,34.0,2720.0,0,0
NARANJA SWEAT PAC 1NO,4.0,40.0,0,0
NEYYAPPAM 1NO,68.0,816.0,65,585
NORMAL FALOODA,12.0,1200.0,0,0
NORMAL FRUIT SALAD,14.0,1090.0,0,0
NORMAL LIME,148.0,2960.0,0,0
NUTRIN LOLLIPOP,2.0,4.0,0,0
ORBIT 1NO,19.0,95.0,0,0
OREO SHAKE,9.0,630.0,0,0
PAF MIXTURE CANDY BALL,3.0,150.0,0,0
PAF PEANUT BAR CANDY 90 GM,2.0,80.0,0,0
PAF PEANUT CANDY BALL,2.0,100.0,0,0
PALAZHY BIRIYANI MIX 1KG,1.0,180.0,0,0
PAPER GLASS 1NO,300.0,210.0,0,0
PAPER PLATE (SMALL) 1NO,20.0,20.0,0,0
PAPER SALT 250G,3.0,240.0,0,0
PAPPADAM MOHINI 1NO,7.0,210.0,0,0
PARIPPU VADA 1NO,83.0,996.0,85,850
PARLE HIDE & SEEK CREAM ORANGE,3.0,90.0,12,327.12
PARLE HIDE & SEEK CREAM STRW,3.0,90.0,0,0
PARTY BOX 4*4 1NO,300.0,1500.0,0,0
PEASTARY 1NO,2.0,60.0,0,0
PINEAPPLE LIME,1.0,30.0,0,0
PISTA ICE CREAM SHAKE,7.0,560.0,0,0
PLATHINSEON AVALOSUNDA 10NO,9.0,720.0,0,0
PLATHINSEON BEANS BISCUT,1.0,40.0,0,0
PLATHINSEON MURUKKUN 10 NO,5.0,220.0,0,0
PLUM BISCUT 250G,6.0,480.0,0,0
PLUM CAKE 400G,7.0,1120.0,7,"1,050.00"
PLUM CAKE 800G,1.0,320.0,1,310
PP COVER LOOS 1KG,0.16,32.0,0,0
PUFS 1NO,435.0,8700.0,435,"7,830.00"
PUNCHIRI POROTTA,2.0,190.0,0,0
RED LABEL 100G,4.0,100.0,0,0
RICH BROWN BREAD 400G,5.0,200.0,0,0
RICH PLUM CAKE 800G,1.0,550.0,0,0
RICH WHIPPING GOLD 2KG,1.0,520.0,0,0
ROASTED PEANUT KG,2.05,676.5,0,0
ROUND BREAD 1NO,9.0,405.0,10,420
ROYAL FRUITS SALAD,5.0,450.0,0,0
RUCHIYIDAM MANGO BAR 200,2.0,240.0,12,"1,176.00"
RUSK 250G,19.0,922.0,58,"2,610.00"
