Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
EASTERN PEPPER PODI 50G,0.0,0.0,10,394.4
EASTERN PEPPER PODI NEW 100G,0.0,0.0,10,784
ELITE RAGI POWDER 500G,0.0,0.0,4,165.4
FANTA 750ML BOTTLE,0.0,0.0,6,192.24
FROOTI 1.2,0.0,0.0,2,130.88
FROOTI 2LIT,0.0,0.0,2,185.18
FRU CHILLY SAUCE 200G,0.0,0.0,6,194.22
FRU CUSTARD POWDER 1KG,0.0,0.0,10,889
FRU GREEN CHILLI SAUCE 700G,0.0,0.0,6,282.24
FRU LEMON SQUASH 700ML,0.0,0.0,3,241.92
FRU MANGO SQUASH 700ML,0.0,0.0,3,299.04
FRU MIXED FRUIT JAM 1KG,0.0,0.0,6,813.12
FRU PINEAPPLE JAM 1KG,0.0,0.0,6,813.12
FRU PINEAPPLE JAM 4KG,0.0,0.0,6,"2,083.20"
FRU RED CHILLI SAUCE 200G,0.0,0.0,6,194.22
FRU SOYABEAN SAUCE 200G,0.0,0.0,6,194.22
FRU TOMATO KETCHUP 90G,0.0,0.0,24,383.76
FRUITOMANS ICING SUGR 1KG,0.0,0.0,3,258.42
GLUCON D LIME,0.0,0.0,6,240
GLUCON-D TANGY ORANGE 100G,0.0,0.0,6,252
GLUCOVITA BOLTS,0.0,0.0,25,217.75
GOOD DAY CASHEW,0.0,0.0,6,137.04
GOOD DAY PISTA BADAM,0.0,0.0,12,273.24
GRANDMAS GREEN CHILLI 200ML,0.0,0.0,3,132
GRANDMAS ORANGE SQUASH 700ML,0.0,0.0,3,276
GRANDMAS PINEAPPLE SQUASH 700ML,0.0,0.0,2,168
GRANDMAS RED CHILLI SAUCE,0.0,0.0,3,132
HALDIRAM NAMKEEN PENUT 200G,0.0,0.0,4,175.44
HALDIRAMS CORNFLAKES MIXTURE 15,0.0,0.0,3,197.37
HALDIRAMS GULAB JAMUN500G,0.0,0.0,3,326.31
HALDIRAMS MOOGDAL 200G,0.0,0.0,4,192.96
HALDIRAMS NAVRATAN MIX 200G,0.0,0.0,4,210.48
HALDIRAMS PANCHRATAN MIXTURE  1,0.0,0.0,3,210.51
HALDIRAMS SOYA STICKS 200 G,0.0,0.0,3,118.41
HERSHEYS SYRUP CHOCOLAATE 200G,0.0,0.0,3,255
HORLICKS BISCUITS 300G,0.0,0.0,28,"1,170.96"
HORLICKS CLASSIC MALT 20G,0.0,0.0,75,343.5
HORLICKS JUNIOR VANILLA PAC 500G,0.0,0.0,4,796.32
JELLY  1KG,0.0,0.0,2,600
KANAN DEVAN CLASSIC 1KG,0.0,0.0,10,"2,546.92"
KANAN DEVAN TEA 100G,0.0,0.0,20,576
KANAN DEVAN TEA 250G,0.0,0.0,12,844.8
KELLOGGS MUESLI FRUIT NUT,0.0,0.0,3,490.89
KF TOP CUP SEAFOOD,0.0,0.0,2,85.8
KF TOP ROGAN JOSH RICH MUTTON CURR,0.0,0.0,2,85.8
KITCHEN BENZY RAVA 500G,0.0,0.0,6,217.14
KITCHEN BROKEN WHEAT 500GM,0.0,0.0,6,212.46
KITCHEN CORIANDER PODI 250G,0.0,0.0,4,176.24
KITCHEN FENUGREEK(ULUVA) 250G,0.0,0.0,4,127.48
KITCHEN FISH PICKLE 400G,0.0,0.0,3,389.7
KITCHEN GARLIC PICKLE 150G,0.0,0.0,3,132.9
KITCHEN PRAWN PICKLE GAR 150G,0.0,0.0,3,210.84
KITCHEN TENDER MANGO PICKLE 150G,0.0,0.0,3,206.25
KITCHEN TURMERIC PODI 100G(MANJAL),0.0,0.0,10,165.3
KITCHEN WHITE AVAL 400G,0.0,0.0,3,106.23
KITKAT 12.8G,0.0,0.0,42,381.78
KNOOR SWEET CORN CHICKEN SOUP,0.0,0.0,6,330.3
KNORR ITALIAN MUSHROOM,0.0,0.0,6,385.32
KNORR MIXED VEGETABLE SOUP,0.0,0.0,6,330.3
KOPIKO CAPPUCCINA 161G,0.0,0.0,3,120.57
LAYS CLASSIC SALT,0.0,0.0,6,167.1
LAYS HOT SIZZLING,0.0,0.0,10,91.1
LAYS MAGIC MASALA 73G,0.0,0.0,15,417.78
LAYS MAX CHILLY,0.0,0.0,6,163.92
LAYS MAX PEPPERY,0.0,0.0,10,91.1
LAYS TOMATO TANGO 73G,0.0,0.0,22,612.7
LION DESERTKING DATES 500G,0.0,0.0,6,"1,452.12"
LION KIMJO DATES 500G,0.0,0.0,3,507.42
LIONS DESEEDED DATES 500G RED,0.0,0.0,3,395.46
LIONS DESEEDED DATES RED 250G,0.0,0.0,3,203.01
LIONS DESERTKING DATES 500G,0.0,0.0,6,"1,285.50"
LOTTE COFFY BITE,0.0,0.0,2,170
LOTTE COFFY BITE CLASSIC,0.0,0.0,2,170
LOTTE ECLAIR CHOCO 600G,0.0,0.0,2,330
LOTTE ECLAIR HONEY 600G,0.0,0.0,2,330
LOTTE ECLAIRS MILK 600G,0.0,0.0,2,330
MAGGI CHICKEN NOODLES 142G,0.0,0.0,12,440.4
MAGGI CHICKEN NOODLES 284G,0.0,0.0,6,396.36
MAGGI MASALA NOODLES 140G,0.0,0.0,12,308.28
MAGGI MASALA NOODLES 70G,0.0,0.0,12,154.2
MALABAR CHEESE BALL,0.0,0.0,5,125
"MALABAR""S  TAPIOCA CHIPS 170G",0.0,0.0,5,170
MARIAS GINGER PICKLE 200G,0.0,0.0,2,110
MARIAS LIME PICKLE BOTTLE 200G,0.0,0.0,8,328
MARIAS MEAT PICKLE 200G,0.0,0.0,2,260
MARIAS NANNARI SQUASH,0.0,0.0,1,127.01
MARIES BANANA CHIPS 170G,0.0,0.0,25,"1,260.00"
MARIES BANANA CHIPS NEW 425G,0.0,0.0,6,756
MARIES CHILLY MIXTURE 170G,0.0,0.0,20,795.2
MARIES CHILLY MIXTURE 425G,0.0,0.0,18,"1,713.62"
MARIES DAL MIXTURE 170G,0.0,0.0,5,179.2
MARIES GHEE ROASTED PEANUT 75G,0.0,0.0,5,106.4
MARIES MULLU MURUKKU 170G,0.0,0.0,5,179.2
MARIES POPCORN 60G,0.0,0.0,10,178.5
MARIES ROASTED PRANUT 130G,0.0,0.0,10,320.3
MARIES SWEET MIXTURE 170G,0.0,0.0,5,179.2
MARIES WHITE MIXTURE 170G,0.0,0.0,5,179.2
MERCELYS ALPHONSA MANGO 500ML,0.0,0.0,2,251.2
MERCELYS BUTTERSCOTCH 1L,0.0,0.0,2,464.02
MERCELYS BUTTERSCOTCH 500ML,0.0,0.0,2,262.96
MERCELYS CASATTA,0.0,0.0,10,348
MERCELYS CHOCOBAR 1NO,0.0,0.0,20,464
MERCELYS CHOCOLATE 1L,0.0,0.0,1,232.02
MERCELYS CHOCOLATE 500ML,0.0,0.0,2,262.96
MERCELYS COMBO VANILLA+ BUTTERS,0.0,0.0,2,441.86
MERCELYS COMBO VANILLA+ MANAGO 7,0.0,0.0,1,220.4
MERCELYS COMBO VANILLA+ PISTA 75,0.0,0.0,1,220.93
MERCELYS CONE VANILA,0.0,0.0,16,494.88
MERCELYS FRUIT NAR STRW,0.0,0.0,25,386.75
MERCELYS MILKBAR PISTA,0.0,0.0,25,386.75
MERCELYS PUTTU ICE CREAM,0.0,0.0,2,425.34
MERCELYS SPANISH DELIGHT 500ML,0.0,0.0,2,270.66
MERCELYS TENDER COCONUT 500ML,0.0,0.0,1,166.27
MERCELYS VANILLA 1L,0.0,0.0,4,728.68
MERCELYS VANILLA 500ML,0.0,0.0,4,386.68
MERIIBOY CHOCOLATE CONE 1 PCS,0.0,0.0,24,979.92
MERIIBOY VANILLA CONE 1 PCS,0.0,0.0,24,799.92
MIDO CHOCOLATE ECLAIERS 300G,0.0,0.0,2,333.32
MIDO HONEY ECLAIRS 200G,0.0,0.0,2,234.44
MIDO MELODY CHOCKY,0.0,0.0,2,374.98
MIDO MELODY HONEY,0.0,0.0,2,375
MIDO MILK ECLAIRS 200G,0.0,0.0,2,233.32
MIDO PLATINUM CHOCOLATE ECLAIRS 3,0.0,0.0,1,166.66
MIDO PLATINUM HONEY ECLAIRS 300G,0.0,0.0,1,166.67
MIDO PLATINUM MILK ECLAIRS 300G,0.0,0.0,1,166.67
MILKY MIST BUTTER MILK,0.0,0.0,20,309.2
MILKY MIST CREAM,0.0,0.0,6,390.18
MILKY MIST CURD 1LTR,0.0,0.0,6,701.04
MILMA BUTTER 500G,0.0,0.0,4,"1,115.60"
MILMA BUTTER UNSALTED 100G,0.0,0.0,6,366.36
MILMA BUTTER UNSALTED 200G,0.0,0.0,6,706.92
MILMA GHEE 100ML,0.0,0.0,6,433.02
MILMA GHEE 500ML,0.0,0.0,3,"1,028.55"
MILMA GHEE 50ML,0.0,0.0,6,227.76
MILMA PANEER 200G,0.0,0.0,6,585.6
MINUTE MAID PULPY ORANGE 250ML,0.0,0.0,15,330.6
MIRINDA 250ML CAN,0.0,0.0,6,164.58
MOMS MAGIC BUTTER,0.0,0.0,6,136.86
MOUNTAIN DEW 250ML CAN,0.0,0.0,6,164.58
NABATI COCOLAVA RS 10,0.0,0.0,12,100.08
NABATI RICHEESE,0.0,0.0,12,200.04
NABATI RICHEESE RS 10,0.0,0.0,12,100.08
NABATI RICHOCO RS 10,0.0,0.0,12,100.08
NABATI WHITE37G,0.0,0.0,12,100.08
NESTLE CERELAC MUL FRU 12-24 MONTH,0.0,0.0,3,839.46
NESTLE CERELAC WHEAT APPLE 300G  6 -,0.0,0.0,2,440.38
NESTLE EVERYDAY 200G,0.0,0.0,12,"1,277.76"
PARLE FAB BOURBON,0.0,0.0,12,436.32
PARLE HIDE & SEEK CREAM VANILA,0.0,0.0,12,327.12
PARLE MELODY CHOCOLATE 391G,0.0,0.0,5,454.6
PARLE MILANO 75G,0.0,0.0,6,218.16
PARLE MILANO CHOCO FILLED DARK,0.0,0.0,6,218.16
PARLE MONACO SIXER SALTED 200G,0.0,0.0,2,127.2
PARRYS WHITE LABEL SUGAR 1KG,0.0,0.0,26,"1,183.94"
PARRYS WHITE LABEL SUGAR 500G,0.0,0.0,6,135.12
PEPSI 1.25L,0.0,0.0,4,211.8
PEPSI 250ML BOTTLE,0.0,0.0,10,160
PRAN POTATO CREAM N ONION,0.0,0.0,6,126
PREDATOR ENERGY DRINK,0.0,0.0,6,242.22
RG GINGELLY OIL 500ML,0.0,0.0,3,340.8
RICH DAD CHOCOBAR,0.0,0.0,14,350.98
RICH DADSIPUP,0.0,0.0,40,312
RUCHIYIDAM KACHA AAM 200,0.0,0.0,6,588
RUCHIYIDAM KACHA MANGO,0.0,0.0,6,318
SLICE 1200ML,0.0,0.0,3,200.04
SLICE 600ML,0.0,0.0,8,275.12
SNICKERS 1NO,0.0,0.0,32,566.4
STING 500ML,0.0,0.0,24,567.12
SUGER FREE GOLD,0.0,0.0,6,159.12
SUNDROP PEANUT BUTTER CREAMY 10,0.0,0.0,3,137.61
SUNDROP PEANUT BUTTER CRU NCHY 1,0.0,0.0,3,137.61
SUNDROP PEANUT BUTTER REGULAR 20,0.0,0.0,2,183.5
SUNFEAST MARIE LIGHT ACTIVE,0.0,0.0,6,189.72
TATA COFFEE GRAND 1KG,0.0,0.0,1,720.04
TATA COFFEE GRAND 200G,0.0,0.0,10,693.6
TATA TEA GOLD 250G,0.0,0.0,8,"1,132.72"
TROPICANA GUAVA 1L,0.0,0.0,2,186.68
UNIBIC BUTTER COOKIES 150G,0.0,0.0,1,49.99
UNIBIC CASHEW BADAM COOKIES (50%) 3,0.0,0.0,6,327.6
UNIBIC CHOCO  NUT COOKIES  300G,0.0,0.0,6,409.2
UNIBIC CHOCO CHIPS COOKIES 300G,0.0,0.0,6,409.08
UNIBIC DANISH COCONUTCOOKIES,0.0,0.0,6,409.2
UNIBIC FRUIT & NUT (50%) 300G,0.0,0.0,4,272.84
UNIBIC PISTA BADAM COOKIES 150G,0.0,0.0,12,600
UNIBIC WAFERS STRW,0.0,0.0,3,144
URBANS CASHEWS PLAIN 500G,0.0,0.0,2,"1,300.00"
URBANS PISTA JAR 200G,0.0,0.0,2,600
URBEN NUTS 50G R,0.0,0.0,6,378
WINKIES SWIS ROLL CHOCOLATE,0.0,0.0,2,156.06
