Sl,Item,Quantity,Amount
308,NESCAFE CLASSIC 100G,1,330
309,POLO 1NO,15,75
310,MUNCH 1NO,159,795
311,CUP NOODLES CHICKEN 70G,2,100
312,BROOKE BOND RED LABLE DUST 250G,3,240
313,BRU INSTANT 100G,2,440
314,BRU INSTANT 2.2G,"1,268.00","2,536.00"
315,BRU INSTANT 5.5G,4,20
316,LIPTON GREEN TEA 100G,2,310
317,BRU INSTANT 11.9,50,500
318,HORLICKS CLASSIC MALT 500G,1,294
319,BOOST BOTTLE 500G,8,"2,392.00"
320,BRU SUPER STRONG 200G,47,"10,025.00"
321,HORLICKS JUNIOR VANILLA FLAVOUR J,2,660
322,HORLICKS BISCUITS 85G,7,70
323,HORLICKS BISCUITS 300G,22,"1,320.00"
324,HORLICKS CLASSIC MALT 20G,59,295
325,BOOST 17G,277,"1,385.00"
326,KNORR MIXED VEGETABLE SOUP,5,300
327,KNOOR SWEET CORN CHICKEN SOUP,8,515
328,KANAN DEVAN TEA 100G,3,99
329,KANAN DEVAN TEA 250G,1,80
330,TATA COFFEE GRAND 200G,1,173
331,NESCAFE CHILLED LATTE 180ML,1,45
332,MAGGI MASALA NOODLES 140G,14,392
333,NESTLE NAN PRO 400G 1,4,"3,080.00"
334,MUNCH,13,130
335,MAGGI CHICKEN NOODLES 284G,25,"2,000.00"
336,NESTLE EVERYDAY 200G,11,"1,320.00"
337,KITKAT 12.8G,110,"1,100.00"
338,MAGGI CHICKEN NOODLES 142G,12,480
339,MAGGI MASALA FAMILY FUN PACKNO,6,637
340,NESTLE NAN PRO 3,3,"2,355.00"
341,NESTLE NAN PRO 400G 4,4,"3,080.00"
342,NESTLE LACTOGEN 400G 2,3,"1,245.00"
343,NESTLE MILKYBAR 24.5,10,200
344,NESTLE LACTOGEN 3 400 G,3,"1,285.00"
345,NESTLE CERELAC MUL FRU 12-24 MONTH,4,"1,228.00"
346,NESTLE EVERYDAY 400G,1,222
347,MAGGI MASALA NOODLES 420G,28,"2,348.00"
348,BRITANNIA GOOD DAY CHOCOCHIP COOK 8901063004146,52,"3,120.00"
349,BRITANNIA MILK BIKIS 300G,1,55
350,BRITANNIA VITA MARIE GOLD BIS 300G,1,45
351,BRITANNIA 50-50 SSWEET & SALT 150G,28,840
352,BRITANNIA 50-50 SWEET AND SALTY 200,94,"3,290.00"
353,BRITANNIA 50-50MASKA CHASKA 45.5G,10,100
354,BRITANNIA 50-50 TIME PASS 150G,6,150
355,BRITANNIA TIGER BRITA 150G,4,100
356,BRITANNIA MARIE GOLD 250G,9,360
357,BRITANNIA NUTRI CHOICE CRACKER 300,49,"2,450.00"
358,BRITANNIA PURE MAGIC CHICOLUSH 75,5,175
359,BRITAANNIA NICE TIME,1,10
360,BRITANNIA TREAT CROISSANT COCOA 4,13,260
361,BRITANNIA TREAT CROISSANT VANILLA,27,540
362,BRITANNIA TREAT WAFERS VANILA,1,50
363,BRITANNIA MILK BIKIS CREAM 100G,1,30
364,BRITANNIA GOOD DAY CASHEW  200G,60,"3,000.00"
365,BRITANNIA GOOD DAY CASHEW FAMILY,1,130
366,BRITANNIA THIN ARROWROOT BISCUIT,50,"1,515.00"
367,BRITANNIA THIN ARROWROOT BISCUITS,63,"3,150.00"
368,BRITANNIA BOURBON 50G,5,50
369,BRITANNIA BOURBON 100G,1,25
370,BRITANNIA NUTRI CHOICE DIGESTIVE 2,1,70
371,BRITANNIA WINKIN STRAWBERRY(MILK,1,35
372,BRITANNIA WINKIN COW CHOCOLICOUS,3,120
373,BRITANNIA TIGER KRUNCH 72G,21,210
374,BRITANNIA TIGER GLUCOSE 250G,17,425
375,BRITANNIA TIGER GLUCOSE 115G,1,10
376,BRITANNIA MILK RUSK 200G,11,385
