Sl,Item,Quantity,Amount
303,TASTY CUP CAKKE CHOCOLATE 140G(6,4,200
304,TEA,67,1005
305,TEA BISCUITS 250G,20,1100
306,TEA BISCUITS 500G,85,9350
307,TEA RUSK 250G,27,2700
308,THAKKOLAM 1KG,0.01,10
309,TIC TAC,14,210
310,TISSUE PAPER BIG ROYAL,3,90
311,TOMATO MURUKKU,2.05,717.5
312,TOO YUMM WAFERS CLASSIC SALTED,1,30
313,TROPICANA CRANBERRY,2,236
314,TROPICANA MIXED FRUIT,5,100
315,TROPICANA ORANGE,1,20
316,TROPICANA PINEAPPLE,2,40
317,TROPICANA POMEGRANTE,1,20
318,ULLIVADA 1NO,16,186
319,UNCLE JOHN BALL  ICE 1 PCS,3,30
320,UNIBIC CHOCO CHIP 150G,2,110
321,UNIBIC CHOCO NUTS,1,55
322,UNIBIC DIGESTIVE COOKIES BUY ONE G,9,450
323,UNIBIC FRUIT & NUTS 150G,4,220
324,UNIBIC SNAPPERS CRM & ONION,2,150
325,UNIBIC SNAPPERS INDI SPICE,1,75
326,UNIBIC WAFFERS CREAMY CHEESS,2,115
327,UNIBIC WAFFERS CREAMY CHOCO,3,165
328,UNNIMADURAM 200G,5,250
329,UNNIYAPPAM 1NO,5,60
330,UZHUNNUVADA 1NO,144,1728
331,VADA,6,72
332,VANILLA ICE CREAM SHAKE,5,400
333,VATTAYAPPAM 1 NO,3,240
334,WINKIES SLICED FRUITICAKE,1,30
335,WINKIES SWISS ROLL CHOCO VANILA,5,50
336,YIPPE SAUCY MASALA,2,150
337,ACT II GOLDEN SIZZLE 30G,3,30
338,MALABAR IDIYIRACHI 250G,1,560
339,PUTHUMAS DATES WITH NUT 350G,1,270
340,BOUNTY 2X 28.5G,3,90
341,IMPORTED PRINGLES,2,440
342,ENJOY COCONUT BALLS 6 PCS,5,245
343,"MALABAR""S HONEY BALLS 20NOS.",3,90
344,KK SUPER COFFEE 250G,3,320
345,AMERICAN GARDEN U.S PEANUT BUTTE,1,199
346,MALANADU PASSION FRUIT SQUASH,1,280
347,CADBARY CHOCOBAKES COOKIES 75G,2,70
348,CADBURY CHOCOBAKES COOKIES 75G,7,275
349,CADBURY SILK MOUSSE 130G,1,185
350,CADBARY DAIRY MILK LICKABLES,4,180
351,CADBURY DAIRY MILK LICKABLES,2,90
352,CADBURY BOURNVITA BISCUIT 120G,12,420
353,CADBURY OREO VANILA,25,250
354,CADBARY DAIRY MILK MAHA PACK 52G,4,160
355,CADBURY DAIRY MILK MAHA PACK 52G,50,2000
356,CADBURY OREO CHOCOLATE 120G,4,130
357,CADBARY OREO CHOCOLATEY SANDWI,1,85
358,CADBURY OREO CHOCOLATEY SANDWI,3,255
359,CADBURY 5 STAR 20.5G,10,100
360,TANG ORANGE 500G,3,450
361,TANG ORANGE 750G,2,500
362,CADBARY BOURNVITA PACK 500G,1,228
363,CADBURY CHOCOBAKE 150G,2,140
364,TANG MANGO 75G,1,30
365,TANG ORANGE 75G,7,210
366,CADBARY GEMS 7.9G,36,180
367,CADBURY GEMS 7.9G,99,495
368,KINDER JOY NATOONS,3,135
369,NUTELLA FERRERO 350ML,1,380
370,NUTELLA FERRERO 180G,1,280
371,KINDER JOY GIRLS 20G,20,900
372,KINDER CREAMY 19G,4,100
373,KINDER JOY BOYS 20G,66,2970
374,PRAN POTATA SPICY BISCUIT 100G,96,2400
375,KELLOGGS PRINGLES SOUR 1+1,5,500
376,PRINGLES POTATO CHIPS (RED)110G,5,575
377,PRINGLES POTATO CHIPS (GREEN) 110G,15,1725
378,KELLOGGS PRINGLES FUSION,3,345
379,PRINGLES POTATO CHIPS(ORANGE),1,115
380,KITKAT 18G,4,80
381,POLO 1NO,10,50
382,MUNCH 1NO,128,640
383,MAGGI TOMATO SAUCE 200G,2,142
384,BRU INSTANT(PACK)50G,5,525
385,BROOKE BOND 3 ROSES PAC 250G,1,220
386,BROOKE BOND RED LABLE DUST 250G,2,160
387,KNORR CHICKEN SOUP 40G,1,60
388,KNORR CHICKEN DELITE SOUP 8901030518225,1,60
389,BRU INSTANT 100G 8901030656927,1,210
390,BRU INSTANT 2.2G 8901030733994,1270,2540
391,BRU INSTANT 5.5G 8901030734014,155,775
392,BRU INSTANT 11.9 8901030783029,25,250
393,HORLICKS CLASSIC MALT 500G 8901030807176,1,294
394,BOOST BOTTLE 200G 8901030817182,1,139
395,BOOST BOTTLE 500G 8901030818660,2,590
396,BOOST PAC 200G 8901030818806,1,99
397,BRU SUPER STRONG 200G 8901030819643,47,9140
398,HORLICKS JUNIOR VANILLA PAC 500G 8901030820045,1,215
399,HORLICKS BISCUITS 300G 8901030823503,9,500
400,HORLICKS CLASSIC MALT 20G 8901030824128,55,275
401,BOOST 17G 8901030824227,253,1265
402,KNORR MIXED VEGETABLE SOUP 8901030824739,3,180
403,KNORR ITALIAN MUSHROOM 8901030824784,6,420
404,KANAN DEVAN TEA 100G 8901052031269,2,66
405,KANAN DEVAN TEA 250G 8901052031368,1,80
406,MAGGI MASALA NOODLES 140G 8901058851304,6,168
407,MUNCH 8901058862768,34,340
408,NESTLE LACTOGEN 400G 1 8901058865318,2,830
409,MAGGI CHICKEN NOODLES 284G 8901058867992,30,2256
410,NESTLE EVERYDAY 200G 8901058869385,6,696
411,KITKAT 12.8G 8901058873412,94,940
412,MAGGI CHICKEN NOODLES 142G 8901058890969,11,396
413,MAGGI MASALA NOODLES 70G 8901058891416,8,112
414,NESTLE NAN PRO 3 8901058894141,2,1525
415,NESTLE CERELAC MULTIGRAIN & FRUIT 8901058894523,1,297
416,NESTLE LACTOGEN 400G 2 8901058894523,2,815
417,NESTLE MILKYBAR 24.5 8901058897159,4,80
418,NESTLE CERELAC MUL FRU 12-24 MONTH 8901058898088,4,1224
419,NESTLE EVERYDAY 400G 8901058899344,10,2220
420,MAGGI MASALA NOODLES 420G 8901058900859,15,1256
421,KITKAT 38.5G 8901058903164,5,150
